index,date,season,year,month,hour,holiday,weekday,workingday,weather,temp,feels_like,hum,windspeed
0,1/7/12,1,1,1,0,0,6,0,1,0.36,0.3485,0.5,0.1642
1,1/7/12,1,1,1,1,0,6,0,1,0.38,0.3939,0.46,0.1642
2,1/7/12,1,1,1,2,0,6,0,1,0.36,0.3636,0.5,0.1045
3,1/7/12,1,1,1,3,0,6,0,1,0.32,0.3333,0.57,0.1045
4,1/7/12,1,1,1,4,0,6,0,1,0.32,0.3333,0.57,0.0896
5,1/7/12,1,1,1,5,0,6,0,1,0.26,0.2727,0.75,0.1045
6,1/7/12,1,1,1,6,0,6,0,1,0.26,0.2727,0.75,0.1045
7,1/7/12,1,1,1,7,0,6,0,1,0.22,0.2273,0.87,0.194
8,1/7/12,1,1,1,8,0,6,0,1,0.24,0.2576,0.75,0.1045
9,1/7/12,1,1,1,9,0,6,0,1,0.22,0.2273,0.8,0.1343
10,1/7/12,1,1,1,10,0,6,0,1,0.28,0.303,0.75,0.0896
11,1/7/12,1,1,1,11,0,6,0,1,0.34,0.3182,0.57,0.2239
12,1/7/12,1,1,1,12,0,6,0,1,0.4,0.4091,0.43,0.2239
13,1/7/12,1,1,1,13,0,6,0,1,0.44,0.4394,0.44,0.194
14,1/7/12,1,1,1,14,0,6,0,1,0.5,0.4848,0.42,0.2836
15,1/7/12,1,1,1,15,0,6,0,1,0.58,0.5455,0.37,0.2985
16,1/7/12,1,1,1,16,0,6,0,2,0.56,0.5303,0.37,0.2836
17,1/7/12,1,1,1,17,0,6,0,2,0.54,0.5152,0.43,0.1343
18,1/7/12,1,1,1,18,0,6,0,1,0.54,0.5152,0.45,0.1343
19,1/7/12,1,1,1,19,0,6,0,1,0.52,0.5,0.42,0.1045
20,1/7/12,1,1,1,20,0,6,0,1,0.5,0.4848,0.39,0.2537
21,1/7/12,1,1,1,21,0,6,0,1,0.44,0.4394,0.44,0.2239
22,1/7/12,1,1,1,22,0,6,0,1,0.44,0.4394,0.38,0.2537
23,1/7/12,1,1,1,23,0,6,0,1,0.42,0.4242,0.38,0.2239
24,1/26/12,1,1,1,0,0,4,1,2,0.28,0.2879,0.75,0.1045
25,1/26/12,1,1,1,1,0,4,1,2,0.28,0.3182,0.75,0
26,1/26/12,1,1,1,2,0,4,1,2,0.28,0.2727,0.75,0.1642
27,1/26/12,1,1,1,3,0,4,1,2,0.28,0.303,0.75,0.0896
28,1/26/12,1,1,1,4,0,4,1,1,0.28,0.3182,0.75,0
29,1/26/12,1,1,1,5,0,4,1,2,0.3,0.3182,0.75,0.1045
30,1/26/12,1,1,1,6,0,4,1,2,0.28,0.3182,0.81,0
31,1/26/12,1,1,1,7,0,4,1,2,0.28,0.303,0.81,0.0896
32,1/26/12,1,1,1,8,0,4,1,2,0.28,0.303,0.81,0.0896
33,1/26/12,1,1,1,9,0,4,1,2,0.3,0.3333,0.81,0
34,1/26/12,1,1,1,10,0,4,1,2,0.3,0.303,0.81,0.1343
35,1/26/12,1,1,1,11,0,4,1,2,0.3,0.3182,0.87,0.1045
